date,customer_id,product_category,payment_method,value [USD],time_on_site [Minutes],clicks_in_site
20/11/18,37077,505,credit,49.53,12,8
20/11/18,59173,509,paypal,50.61,25.9,8
20/11/18,41066,507,credit,85.99,34.9,11
20/11/18,50741,506,credit,34.6,16.5,9
20/11/18,53639,515,paypal,266.27,43.1,30
20/11/18,39783,501,credit,193.78,14,10
20/11/18,26767,514,paypal,61.22,11.6,8
20/11/18,20719,505,paypal,11.18,3.1,7
20/11/18,46947,515,paypal,144.01,38.3,6
20/11/18,31839,512,credit,447.92,41.8,19
20/11/18,22249,509,paypal,144.87,7.8,13
20/11/18,15109,512,credit,102.76,15.6,9
20/11/18,18622,509,paypal,91.58,8,6
20/11/18,56296,503,credit,28.43,12.2,8
20/11/18,34138,506,paypal,56.04,17,10
20/11/18,51112,514,paypal,3.69,4.3,6
20/11/18,57057,503,paypal,8.86,38.1,0
20/11/18,50942,514,credit,59.55,38.6,10
20/11/18,42384,514,paypal,132.85,34.5,8
20/11/18,26127,510,paypal,41.69,44.2,8
20/11/18,14449,514,paypal,234.7,24.8,0
20/11/18,16823,508,credit,87.44,13.5,11
20/11/18,15976,508,paypal,152.93,9,16
20/11/18,51542,514,paypal,30,11.8,7
20/11/18,42676,511,paypal,11.8,6.6,6
20/11/18,56593,509,paypal,48.93,20.6,8
20/11/18,37689,508,paypal,169.23,56.7,9
20/11/18,26058,504,credit,56.2,10.8,0
20/11/18,38941,514,paypal,370.11,49.7,7
20/11/18,19919,512,credit,201.99,19.5,22
20/11/18,56625,505,credit,84.1,16.3,14
20/11/18,33501,514,paypal,198.55,34.2,10
20/11/18,40865,515,credit,105.02,19.8,16
20/11/18,38256,505,paypal,80.83,29,8
20/11/18,14567,509,credit,108.04,20.9,12
20/11/18,38178,507,credit,17.86,8.6,7
20/11/18,24153,513,credit,305.29,27.8,20
20/11/18,27385,509,paypal,108.18,36.1,13
20/11/18,44937,505,credit,95.28,25.2,10
20/11/18,38490,510,credit,4.01,2.7,6
20/11/18,30549,512,credit,200,12.3,25
20/11/18,50606,508,paypal,385.52,33.6,23
20/11/18,42084,504,paypal,129.91,28.2,18
20/11/18,52161,512,credit,165.98,26.9,16
20/11/18,32218,508,paypal,441.39,37.9,12
20/11/18,36491,513,paypal,14.34,70,7
20/11/18,12227,515,credit,341.51,25.4,7
20/11/18,13196,514,credit,90.91,11.5,13
20/11/18,50444,507,credit,74,30.7,13
20/11/18,24528,509,credit,297.49,31.3,7
